id,numMutations,sampleSize,numFeatures
1161,0,100,30
1162,0,100,30
1163,0,100,30
1164,0,100,30
1165,0,100,28
1166,0,100,29
1167,0,100,26
1168,0,100,26
1169,0,100,26
1170,0,100,28
1171,0,100,32
1172,0,100,30
1173,0,100,28
1174,0,100,30
1175,0,100,27
1176,0,100,31
1177,0,100,29
1178,0,100,27
1179,0,100,30
1180,0,100,30
1181,0,100,29
1182,0,100,26
1183,0,100,30
1184,0,100,25
1185,0,100,30
1186,0,100,25
1187,0,100,29
1188,0,100,27
1189,0,100,30
1190,0,100,30
1191,0,100,29
1192,0,100,29
1193,0,100,31
1194,0,100,31
1195,0,100,30
1196,0,100,29
1197,0,100,30
1198,0,100,27
1199,0,100,26
1200,0,100,27
1201,0,100,29
1202,0,100,28
1203,0,100,29
1204,0,100,28
1205,0,100,29
1206,0,100,29
1207,0,100,27
1208,0,100,29
1209,0,100,26
1210,0,100,26
1211,0,100,29
1212,0,100,32
1213,0,100,30
1214,0,100,30
1215,0,100,30
1216,0,100,29
1217,0,100,30
1218,0,100,29
1219,0,100,28
1220,0,100,29
1221,0,100,28
1222,0,100,27
1223,0,100,31
1224,0,100,27
1225,0,100,27
1226,0,100,26
1227,0,100,27
1228,0,100,27
1229,0,100,30
1230,0,100,27
1231,0,100,28
1232,0,100,30
1233,0,100,25
1234,0,100,30
1235,0,100,28
1236,0,100,30
1237,0,100,29
1238,0,100,26
1239,0,100,28
1240,0,100,30
1241,0,100,28
1242,0,100,30
1243,0,100,30
1244,0,100,30
1245,0,100,29
1246,0,100,28
1247,0,100,29
1248,0,100,28
1249,0,100,29
1250,0,100,31
1251,0,100,28
1252,0,100,30
1253,0,100,28
1254,0,100,29
1255,0,100,27
1256,0,100,29
1257,0,100,28
1258,0,100,26
1259,0,100,28
1260,0,100,27
1261,0,100,28
1262,0,100,29
1263,0,100,28
1264,0,100,29
1265,0,100,27
1266,0,100,27
1267,0,100,30
1268,0,100,26
1269,0,100,26
1270,0,100,29
1271,0,100,27
1272,0,100,24
1273,0,100,31
1274,0,100,28
1275,0,100,29
1276,0,100,27
1277,0,100,28
1278,0,100,28
1279,0,100,28
1280,0,100,31
1281,0,100,27
1282,0,100,27
1283,0,100,27
1284,0,100,30
1285,0,100,30
1286,0,100,29
1287,0,100,30
1288,0,100,29
1289,0,100,29
1290,0,100,30
1291,0,100,27
1292,0,100,29
1293,0,100,27
1294,0,100,27
1295,0,100,29
1296,0,100,28
1297,0,100,28
1298,0,100,30
1299,0,100,30
1300,0,100,29
1301,0,100,29
1302,0,100,29
1303,0,100,28
1304,0,100,29
1305,0,100,30
1306,0,100,28
1307,0,100,31
1308,0,100,30
1309,0,100,29
1310,0,100,27
1311,0,100,28
1312,0,100,31
1313,0,100,28
1314,0,100,28
1315,0,100,25
1316,0,100,31
1317,0,100,26
1318,0,100,30
1319,0,100,30
1320,0,100,30
1321,0,100,28
1322,0,100,27
1323,0,100,25
1324,0,100,28
1325,0,100,31
1326,0,100,25
1327,0,100,28
1328,0,100,28
1329,0,100,28
1330,0,100,26
1331,0,100,29
1332,0,100,30
1333,0,100,31
1334,0,100,28
1335,0,100,28
1336,0,100,31
1337,0,100,29
1338,0,100,27
1339,0,100,28
1340,0,100,29
1341,0,100,30
1342,0,100,28
1343,0,100,30
1344,0,100,28
1345,0,100,31
1346,0,100,26
1347,0,100,28
1348,0,100,30
1349,0,100,30
1350,0,100,29
1351,0,100,26
1352,0,100,30
1353,0,100,28
1354,0,100,29
1355,0,100,30
1356,0,100,29
1357,0,100,30
1358,0,100,31
1359,0,100,26
1360,0,100,31
1361,0,100,29
1362,0,100,30
1363,0,100,29
1364,0,100,30
1365,0,100,30
1366,0,100,28
1367,0,100,27
1368,0,100,29
1369,0,100,27
1370,0,100,31
1371,0,100,26
1372,0,100,30
1373,0,100,30
1374,0,100,29
1375,0,100,28
1376,0,100,26
1377,0,100,28
1378,0,100,29
1379,0,100,29
1380,0,100,27
1381,0,100,28
1382,0,100,30
1383,0,100,26
1384,0,100,28
